prop_name,monthly_rent,location,property_type,rooms,parking,bathroom,size,district
Segar Courts,2300,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1170 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1500,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,884 sq.ft.,Kuala Lumpur
Arte Plus Jalan Ampang,1550,Kuala Lumpur - Ampang,Service Residence,1.0,1.0,1.0,700 sq.ft.,Kuala Lumpur
PV9 Residences @ Taman Melati,2000,Kuala Lumpur - Setapak,Service Residence,4.0,2.0,2.0,1100 sq.ft.,Kuala Lumpur
Arte Plus Jalan Ampang,1500,Kuala Lumpur - Ampang,Service Residence,1.0,1.0,1.0,700 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
East Side One Ampang Avenue,1800,Kuala Lumpur - Ampang,Condominium,3.0,1.0,2.0,1100 sq.ft.,Kuala Lumpur
Majestic Maxim,1099,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Majestic Maxim,1099,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Majestic Maxim,1199,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,819 sq.ft.,Kuala Lumpur
Majestic Maxim,1100,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Sri Penara,1000,Kuala Lumpur - Cheras,Apartment,3.0,,2.0,650 sq.ft.,Kuala Lumpur
Prisma Cheras,1100,Kuala Lumpur - Cheras,Condominium,1.0,1.0,1.0,900 sq.ft.,Kuala Lumpur
Berlian Residence @ Setapak,1500,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,900 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1800,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,885 sq.ft.,Kuala Lumpur
Greenpark,1400,Kuala Lumpur - Old Klang Road,Condominium,3.0,1.0,2.0,1270 sq.ft.,Kuala Lumpur
Majestic Maxim,1800,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,819 sq.ft.,Kuala Lumpur
Bennington Residences @ SkyArena,3000,Kuala Lumpur - Setapak,Condominium,3.0,2.0,2.0,1200 sq.ft.,Kuala Lumpur
Putra Villa,1800,Kuala Lumpur - Setapak,Condominium,3.0,,2.0,1066 sq.ft.,Kuala Lumpur
3 Towers,2500,Kuala Lumpur - Ampang Hilir,Condominium,2.0,1.0,1.0,890 sq.ft.,Kuala Lumpur
Laman Tasik,2100,Kuala Lumpur - Cheras,Condominium,4.0,1.0,3.0,1300 sq.ft.,Kuala Lumpur
3 Towers,2000,Kuala Lumpur - Ampang Hilir,Service Residence,1.0,1.0,1.0,440 sq.ft.,Kuala Lumpur
M3 Residency,1600,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,950 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
KL Traders Square Residences,1400,Kuala Lumpur - Gombak,Service Residence,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Prisma Cheras,1500,Kuala Lumpur - Cheras,Condominium,2.0,1.0,1.0,717 sq.ft.,Kuala Lumpur
Lavile,3000,Kuala Lumpur - Cheras,Service Residence,3.0,,2.0,864 sq.ft.,Kuala Lumpur
Taman Connaught,900,Kuala Lumpur - Cheras,Apartment,2.0,1.0,1.0,550 sq.ft.,Kuala Lumpur
Midah Ria,1300,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,967 sq.ft.,Kuala Lumpur
Dahlia Apartment (Ampang),1300,Kuala Lumpur - Ampang,Apartment,3.0,,2.0,860 sq.ft.,Kuala Lumpur
PV9 Residences @ Taman Melati,2100,Kuala Lumpur - Setapak,Service Residence,3.0,2.0,2.0,1000 sq.ft.,Kuala Lumpur
Suasana Lumayan,1550,Kuala Lumpur - Cheras,Condominium,4.0,1.0,2.0,1142 sq.ft.,Kuala Lumpur
Plaza Prima Setapak,1400,Kuala Lumpur - Setapak,Condominium,4.0,2.0,2.0,1300 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1800,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,884 sq.ft.,Kuala Lumpur
PV9 Residences @ Taman Melati,2300,Kuala Lumpur - Setapak,Service Residence,3.0,2.0,2.0,1000 sq.ft.,Kuala Lumpur
Majestic Maxim,1350,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,1.0,650 sq.ft.,Kuala Lumpur
The Nest Residence @ Genting Klang,1600,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,770 sq.ft.,Kuala Lumpur
Sky Awani 3 Residence Setpak,1600,Kuala Lumpur - Setapak,Service Residence,3.0,2.0,2.0,800 sq.ft.,Kuala Lumpur
The Nest Residence @ Genting Klang,900,Kuala Lumpur - Setapak,Service Residence,1.0,1.0,1.0,360 sq.ft.,Kuala Lumpur
Suasana Lumayan,1500,Kuala Lumpur - Cheras,Condominium,4.0,1.0,2.0,1142 sq.ft.,Kuala Lumpur
Arte Plus Jalan Ampang,2100,Kuala Lumpur - Ampang,Service Residence,3.0,2.0,2.0,1200 sq.ft.,Kuala Lumpur
Vista Langkawi @ PV18,1399,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,926 sq.ft.,Kuala Lumpur
Residensi Alam Damai (PR1MA @ Alam Damai),1300,Kuala Lumpur - Cheras,Apartment,3.0,1.0,3.0,935 sq.ft.,Kuala Lumpur
Flat Taman Melati,1000,Kuala Lumpur - Setapak,Flat,3.0,,2.0,650 sq.ft.,Kuala Lumpur
Teratai Mewah Apartment,850,Kuala Lumpur - Setapak,Apartment,3.0,,1.0,650 sq.ft.,Kuala Lumpur
Bayu Tasik 2,1500,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1000 sq.ft.,Kuala Lumpur
Platinum Lake PV 21,1500,Kuala Lumpur - Setapak,Service Residence,3.0,,2.0,1040 sq.ft.,Kuala Lumpur
Platinum Lake PV 20,1500,Kuala Lumpur - Setapak,Condominium,4.0,2.0,2.0,1333 sq.ft.,Kuala Lumpur
M Vertica,1800,Kuala Lumpur - Cheras,Condominium,3.0,,2.0,850 sq.ft.,Kuala Lumpur
Majestic Maxim,2300,Kuala Lumpur - Cheras,Service Residence,3.0,,2.0,1050 sq.ft.,Kuala Lumpur
Tiara Mutiara 2,1500,Kuala Lumpur - Old Klang Road,Service Residence,3.0,,2.0,900 sq.ft.,Kuala Lumpur
PV9 Residences @ Taman Melati,2499,Kuala Lumpur - Setapak,Service Residence,4.0,3.0,2.0,1100 sq.ft.,Kuala Lumpur
Bukit Pandan 2,1450,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1150 sq.ft.,Kuala Lumpur
Majestic Maxim,1100,Kuala Lumpur - Cheras,Service Residence,2.0,,2.0,650 sq.ft.,Kuala Lumpur
Majestic Maxim,1750,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,819 sq.ft.,Kuala Lumpur
EkoCheras Service Apartment,1800,Kuala Lumpur - Cheras,Service Residence,1.0,1.0,2.0,762 sq.ft.,Kuala Lumpur
10 Semantan,1948,Kuala Lumpur - Damansara Heights,Service Residence,2.0,1.0,2.0,990 sq.ft.,Kuala Lumpur
M Vertica,2200,Kuala Lumpur - Cheras,Condominium,3.0,2.0,2.0,850 sq.ft.,Kuala Lumpur
Vista Langkawi @ PV18,1300,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,926 sq.ft.,Kuala Lumpur
Platinum Lake PV 13,2400,Kuala Lumpur - Setapak,Condominium,3.0,2.0,2.0,1313 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,3.0,,2.0,850 sq.ft.,Kuala Lumpur
Putra Villa,1800,Kuala Lumpur - Setapak,Condominium,3.0,,2.0,1066 sq.ft.,Kuala Lumpur
Vina Versatile Homes,1400,Kuala Lumpur - Cheras,Studio,1.0,1.0,1.0,450 sq.ft.,Kuala Lumpur
M Vertica,1800,Kuala Lumpur - Cheras,Condominium,3.0,,2.0,850 sq.ft.,Kuala Lumpur
PV9 Residences @ Taman Melati,550,Kuala Lumpur - Setapak,Service Residence,4.0,,3.0,1300 sq.ft.,Kuala Lumpur
Majestic Maxim,1100,Kuala Lumpur - Cheras,Service Residence,2.0,,2.0,650 sq.ft.,Kuala Lumpur
Majestic Maxim,1488,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,819 sq.ft.,Kuala Lumpur
vista wirajaya 2,1500,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Danau Kota Suite Apartments,2200,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,829 sq.ft.,Kuala Lumpur
Awana Puri Condominiums,1500,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1185 sq.ft.,Kuala Lumpur
Sri Pelangi (Jalan Genting Kelang),1200,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,931 sq.ft.,Kuala Lumpur
Taman Miharja Apartment (LRT Miharja),1500,Kuala Lumpur - Cheras,Apartment,3.0,1.0,2.0,950 sq.ft.,Kuala Lumpur
Putra Villa,1800,Kuala Lumpur - Setapak,Condominium,3.0,,2.0,1076 sq.ft.,Kuala Lumpur
Kenari Apartment (Taman Melati),1600,Kuala Lumpur - Setapak,Apartment,3.0,,2.0,900 sq.ft.,Kuala Lumpur
Kenari Apartment (Taman Melati),1600,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,900 sq.ft.,Kuala Lumpur
The Holmes,1600,Kuala Lumpur - Cheras,Condominium,3.0,2.0,2.0,1018 sq.ft.,Kuala Lumpur
Suasana Lumayan,1600,Kuala Lumpur - Cheras,Condominium,4.0,1.0,2.0,1142 sq.ft.,Kuala Lumpur
Platinum Hill PV 6,1600,Kuala Lumpur - Setapak,Condominium,4.0,1.0,2.0,1328 sq.ft.,Kuala Lumpur
M3 Residency,1700,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,900 sq.ft.,Kuala Lumpur
Platinum Lake PV 13,1800,Kuala Lumpur - Setapak,Condominium,4.0,,2.0,1313 sq.ft.,Kuala Lumpur
Putra Villa,1800,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,1067 sq.ft.,Kuala Lumpur
Majestic Maxim,1300,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,650 sq.ft.,Kuala Lumpur
Genting Court Condominium,1100,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,820 sq.ft.,Kuala Lumpur
Prima Court,900,Kuala Lumpur - Ampang,Condominium,3.0,1.0,2.0,890 sq.ft.,Kuala Lumpur
Aliran Damai Apartments,1200,Kuala Lumpur - Cheras,Apartment,3.0,1.0,2.0,1006 sq.ft.,Kuala Lumpur
Nusa Mewah Villa Condominium,1400,Kuala Lumpur - Cheras,Condominium,3.0,2.0,2.0,865 sq.ft.,Kuala Lumpur
Damansara Foresta,2000,Kuala Lumpur - Sri Damansara,Condominium,4.0,2.0,3.0,1492 sq.ft.,Kuala Lumpur
Damansara Foresta,2800,Kuala Lumpur - Sri Damansara,Condominium,3.0,2.0,3.0,1610 sq.ft.,Kuala Lumpur
Suasana Lumayan,1800,Kuala Lumpur - Cheras,Condominium,4.0,,2.0,1142 sq.ft.,Kuala Lumpur
Residensi Tasikmas,1300,Kuala Lumpur - Cheras,Apartment,3.0,,2.0,850 sq.ft.,Kuala Lumpur
Bayu Tasik 1,1200,Kuala Lumpur - Cheras,Condominium,3.0,2.0,2.0,975 sq.ft.,Kuala Lumpur
Cheria Heights Condo / Apartments,600,Kuala Lumpur - Cheras,Apartment,3.0,,1.0,700 sq.ft.,Kuala Lumpur
The Nest Residence @ Genting Klang,1499,Kuala Lumpur - Setapak,Service Residence,2.0,1.0,1.0,700 sq.ft.,Kuala Lumpur
Majestic Maxim,1400,Kuala Lumpur - Cheras,Service Residence,2.0,2.0,2.0,650 sq.ft.,Kuala Lumpur
Pangsapuri Sri Penara,900,Kuala Lumpur - Cheras,Flat,3.0,,2.0,650 sq.ft.,Kuala Lumpur
Permai Ria @ Bukit Ampang Permai,900,Kuala Lumpur - Ampang,Flat,3.0,,2.0,680 sq.ft.,Kuala Lumpur
Residensi Alam Damai (PR1MA @ Alam Damai),1300,Kuala Lumpur - Cheras,Apartment,3.0,2.0,2.0,1000 sq.ft.,Kuala Lumpur
Blok Desa Awana Apartment,1000,Kuala Lumpur - Cheras,Flat,3.0,,2.0,700 sq.ft.,Kuala Lumpur
The Scott Garden,1400,Kuala Lumpur - Old Klang Road,Duplex,1.0,1.0,1.0,775 sq.ft.,Kuala Lumpur
Segar Apartments,1000,Kuala Lumpur - Cheras,Apartment,3.0,1.0,2.0,950 sq.ft.,Kuala Lumpur
Sri Penara,800,Kuala Lumpur - Cheras,Apartment,3.0,,2.0,650 sq.ft.,Kuala Lumpur
The Meritz,3800,Kuala Lumpur - Ampang,Condominium,2.0,,2.0,1400 sq.ft.,Kuala Lumpur
M Vertica,2300,Kuala Lumpur - Cheras,Condominium,4.0,2.0,3.0,1000 sq.ft.,Kuala Lumpur
Bayu Tasik 1,1400,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,920 sq.ft.,Kuala Lumpur
PV9 Residences @ Taman Melati,1800,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Arte Plus Jalan Ampang,1500,Kuala Lumpur - Ampang,Service Residence,1.0,1.0,1.0,680 sq.ft.,Kuala Lumpur
Maxim Residences,1850,Kuala Lumpur - Cheras,Service Residence,3.0,1.0,2.0,1050 sq.ft.,Kuala Lumpur
Platinum Teratai Residence,1499,Kuala Lumpur - Setapak,Apartment,3.0,2.0,2.0,928 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1450,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Suasana Lumayan,1600,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1142 sq.ft.,Kuala Lumpur
M Vertica,2600,Kuala Lumpur - Cheras,Condominium,3.0,2.0,2.0,850 sq.ft.,Kuala Lumpur
Ascenda Residences @ SkyArena Setapak,1700,Kuala Lumpur - Setapak,Condominium,3.0,2.0,2.0,1200 sq.ft.,Kuala Lumpur
The Nest Residence @ Genting Klang,1500,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,700 sq.ft.,Kuala Lumpur
Vista Wirajaya 2 Residensi @ PV9,1500,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Vista Wirajaya 2 Residensi @ PV9,1500,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Setapak Green,1799,Kuala Lumpur - Setapak,Condominium,4.0,2.0,3.0,1362 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1550,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Majestic Maxim,1000,Kuala Lumpur - Cheras,Service Residence,3.0,,2.0,819 sq.ft.,Kuala Lumpur
Villa Danau,1250,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,1100 sq.ft.,Kuala Lumpur
M Vertica,2300,Kuala Lumpur - Cheras,Condominium,3.0,3.0,2.0,850 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1450,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Putra Villa,1800,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,1125 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1650,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1750,Kuala Lumpur - Setapak,Apartment,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
Seri sentosa old Klang road,650,Kuala Lumpur - Old Klang Road,Apartment,3.0,,1.0,750 sq.ft.,Kuala Lumpur
Taman Desa Cheras,700,Kuala Lumpur - Cheras,Flat,2.0,,1.0,570 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,450,Kuala Lumpur - Setapak,Apartment,3.0,,2.0,850 sq.ft.,Kuala Lumpur
PPR Kampung Baru Air Panas,880,Kuala Lumpur - Setapak,Flat,3.0,,2.0,800 sq.ft.,Kuala Lumpur
EkoCheras Service Apartment,3500,Kuala Lumpur - Cheras,Service Residence,2.0,1.0,2.0,1121 sq.ft.,Kuala Lumpur
PV9 Residences @ Taman Melati,1800,Kuala Lumpur - Setapak,Condominium,3.0,2.0,2.0,1000 sq.ft.,Kuala Lumpur
"The Veo, Kuala Lumpur",2200,Kuala Lumpur - Setapak,Condominium,1.0,1.0,1.0,700 sq.ft.,Kuala Lumpur
Residensi Rampai II,2000,Kuala Lumpur - Setapak,Apartment,4.0,2.0,2.0,950 sq.ft.,Kuala Lumpur
Majestic Maxim,999,Kuala Lumpur - Cheras,Service Residence,2.0,,2.0,650 sq.ft.,Kuala Lumpur
Residensi Rampai II,1900,Kuala Lumpur - Setapak,Condominium,4.0,2.0,2.0,950 sq.ft.,Kuala Lumpur
Taman Bukit Segar,650,Kuala Lumpur - Cheras,Apartment,3.0,1.0,1.0,700 sq.ft.,Kuala Lumpur
Putra Villa,1800,Kuala Lumpur - Setapak,Condominium,3.0,1.0,2.0,1076 sq.ft.,Kuala Lumpur
222 Residency,650,Kuala Lumpur - Setapak,Condominium,4.0,2.0,2.0,1200 sq.ft.,Kuala Lumpur
Majestic Maxim,1600,Kuala Lumpur - Cheras,Service Residence,2.0,,2.0,670 sq.ft.,Kuala Lumpur
Residensi Vista Wirajaya,1500,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,850 sq.ft.,Kuala Lumpur
D'Suria Condominium,2400,Kuala Lumpur - Ampang,Condominium,3.0,1.0,2.0,1060 sq.ft.,Kuala Lumpur
Cheras Business Centre,1100,Kuala Lumpur - Cheras,Apartment,3.0,,2.0,625 sq.ft.,Kuala Lumpur
M Vertica,1800,Kuala Lumpur - Cheras,Condominium,3.0,2.0,2.0,850 sq.ft.,Kuala Lumpur
Platinum Teratai Residence,1700,Kuala Lumpur - Setapak,Apartment,3.0,2.0,2.0,928 sq.ft.,Kuala Lumpur
Serini Melawati,3000,Kuala Lumpur - Taman Melawati,Service Residence,3.0,1.0,2.0,1376 sq.ft.,Kuala Lumpur
Teratai Mewah Apartment,1100,Kuala Lumpur - Setapak,Apartment,3.0,,1.0,653 sq.ft.,Kuala Lumpur
Arte Plus Jalan Ampang,1600,Kuala Lumpur - Ampang,Service Residence,2.0,1.0,2.0,589 sq.ft.,Kuala Lumpur
Arte Plus Jalan Ampang,2500,Kuala Lumpur - Ampang,Service Residence,4.0,1.0,2.0,890 sq.ft.,Kuala Lumpur
The Elements,1600,Kuala Lumpur - Ampang,Service Residence,1.0,1.0,1.0,520 sq.ft.,Kuala Lumpur
Bayu Tasik 1,1350,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,920 sq.ft.,Kuala Lumpur
Midah Ria,1350,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,967 sq.ft.,Kuala Lumpur
Sri Ampang Condominium,1300,Kuala Lumpur - Ampang,Condominium,4.0,1.0,2.0,1100 sq.ft.,Kuala Lumpur
PV18 Residence,1600,Kuala Lumpur - Setapak,Service Residence,3.0,1.0,2.0,926 sq.ft.,Kuala Lumpur
Bam Villa,1400,Kuala Lumpur - Cheras,Condominium,3.0,1.0,2.0,1100 sq.ft.,Kuala Lumpur
8 Kinrara,2700,Kuala Lumpur - Puchong,Service Residence,3.0,2.0,2.0,1096 sq.ft.,Kuala Lumpur
Sri Lempah,700,Kuala Lumpur - Old Klang Road,Flat,2.0,,1.0,600 sq.ft.,Kuala Lumpur
